ID;iata;icao;airportDescription;location;country
cfd3657a-829e-40e4-ad9f-2d1452d92a99;AGV;SVAC;Oswaldo Guevara Mujica;Acarigua;Venezuela
367a2673-e44b-421a-a6b2-d800a4962654;AGX;VOAT;Agatti Aerodrome;Agatti (Lakshadweep);India
2ad12f57-d3be-40f7-93ac-3ca9b87a48b2;AHB;OEAB;Abha Regional Airport;Abha;Saudi Arabia
ef8836e7-cf0b-4654-8fe3-f49398c7af82;AHL;SYAH;Aishalton;Aishalton;Guyana
6ee5c09e-407b-4df1-bf9b-5baf95e61aac;AHN;KAHN;Athens-Ben Epps Airport;Athens, Georgia;USA
942be9ba-ee9a-483a-b1a1-f94cfacbc522;AHO;LIEA;Alghero Airport;Alghero;Italy
d7c9eab6-532d-4219-b70d-f5431c7751c9;AHU;GMTA;Cherif Al Idrissi;Al Hoceima;Morocco
07501c33-f56a-42b6-8621-e5a08133ab72;AIG;FEFY;Yalinga;Yalinga;Central Africa
69bad8bb-1c42-4c11-81d5-c1c5f74def75;AIT;NCAI;Avarua;Aitutaki;Cook Islands
a50f6784-9342-4f48-831a-665136b2a667;AJA;LFKJ;Campo Dell Oro Airport;Ajaccio;France
259e97aa-9cc1-4716-b735-bf2b1f8319eb;AJF;OESK;al-Jouf Domestic Airport;al-Jouf;Saudi Arabia
d5215736-b6a2-4a94-aecd-fecad39559bf;AJI;LTCO;Agri Airport;Agri;Turkey
e5edf426-7391-4276-9d53-61c9760989cf;AJJ;GQNJ;Akjoujt;Akjoujt;Mauritania
09599c47-7ec4-4fb3-ab94-37e3e8fc2ad3;AJL;VELP;Lengpui Airport;Aizawl (Mizoram);India
516c423e-0ca5-4687-a723-3d58d5eb62a1;AJN;FMCV;Ouani;Anjouan;Comoros
32d0f86b-3c92-4cd9-8ed0-91b5b7e1aab8;AJR;ESNX;Arvidsjaur;Arvidsjaur;Sweden
10439610-bd8c-4b54-ab5d-2579faf413af;AJU;SBAR;Santa Maria Airport;Aracaju;Brazil
a638090a-c402-4ef1-97ce-e559e8f051d0;AJY;DRZA;Manu Dayak;Agades;Niger
589884b7-297d-4282-867e-7e5815723f24;AKD;VAAK;Akola Airport;Akola (Maharashtra);India
04b35535-2b01-461f-8caa-ca15f935be33;AKF;HLKF;Kufra;Kufra;Libya
a8b5669a-177f-4dae-ad6d-6e33a6cb2911;AKJ;RJEC;Asahikawa Airport;Hokkaido;Japan
c2f23756-827c-4981-bb9b-11b83bd53bbc;AKL;NZAA;Auckland Intl Airport;Auckland;New Zealand
f5ecb736-64a3-4604-b56b-961b35a9c2a5;AKN;PAKN;King Salmon Airport;King Salmon, Alaska;USA
6f8417f5-cf52-4abe-a784-6d3ffdd06c0c;AKR;DNAK;Akure;Akure;Nigeria
5c5a5c03-ba9f-474f-8599-d2e102699da0;AKU;ZWAK;Aksu Airport;Aksu;China - Peoples Republic
3c8f7591-15f8-4c28-8e2f-4bde100681b7;AKV;CYKO;Akulivik;Akulivik, Quebec;Canada
5f9936a3-9a2c-4d72-9b23-cf86b628cb35;AKX;UATT;Aktyubinsk;Aktyubinsk;Kazakhstan
cce01363-5d6b-4e90-b101-42f99d8f7a4d;AKY;VYSW;Sittwe;Sittwe;Myanmar (Burma)
bd75c4f1-4192-4401-8404-dc077d6dddbd;ALA;UAAA;Almaty;Almaty;Kazakhstan
be9e4924-7733-4c65-8e6a-f67aa4c47852;ALB;KALB;Albany Intl Airport;Albany, New York;USA
4ccb42e5-84aa-406c-824d-b8d3b683dd07;ALC;LEAL;Alicante Airport;Alicante;Spain
3bf060b9-5837-446c-be8e-76873a16ca83;ALD;SPAR;Alerta;Alerta;Peru
fc2ea2b9-5d89-4819-8fcb-055ad8f244a4;ALF;ENAT;Alta Airport;Alta;Norway
2a0bef8d-3e5f-4ecd-a889-4cdb544bc2e9;ALG;DAAG;Algiers - Houari Boumediene Airport;Algiers;Algeria
0fab016f-e616-47e0-82f6-0b6239aedaf5;ALH;YABA;Albany Airport;Albany;Australia
d117ddd5-410d-424f-9778-6e3ce681921d;ALJ;FAAB;Alexander Bay;Alexander Bay;South Africa
ce82390b-a34c-4ace-9624-6425576555f8;ALL;LIMG;Villanova d'Albenga Intl Airport (C. Panero Airport);Albenga;Italy
b18e446a-dce2-40dd-9667-262a23dc936c;ALO;KALO;Waterloo Regional Airport;Waterloo, Iowa;USA
96397ee8-2e25-4771-a303-c675e77d92b9;ALP;OSAP;Aleppo Intl;Aleppo;Syria
fb3cc362-b5db-4ad0-8090-e1b2bb419d9e;ALR;NZLX;Alexandra;Alexandra;New Zealand
