ID;iata;icao;airportDescription;location;country
048fb03c-f252-4bda-a2c5-31c55a233c75;PGV;KPGV;Pitt-Greenville Airport;Greenville, North Carolina;USA
083da7e7-f831-4855-8548-031efa4dd902;PHF;KPHF;Newport News/Williamsburg Intl Airport;Newport News, Virginia;USA
a0237870-c424-444d-a5df-db624eb2a828;PHL;KPHL;Philadelphia Intl Airport;Philadelphia, Pennsylvania;USA
5c6a1776-9c4a-4c5b-a525-d60752bd69da;PHX;KPHX;Phoenix Sky Harbor Intl Airport;Phoenix, Arizona;USA
3e89bd4a-b256-4752-b97e-012c91b3daa0;PIA;KPIA;Greater Peoria Regional Airport;Peoria, Illinois;USA
1401fa35-6a0d-4552-ac7b-1117ec4f55a6;PIB;KPIB;Hattiesburg-Laurel Regional Airport;Hattiesburg, Mississippi;USA
c2b0bdc5-df9f-450f-8987-b01acc584503;PIE;KPIE;St. Petersburg-Clearwater Intl Airport;St. Petersburg, Florida;USA
53f2ceae-48da-48ac-913a-357448d0f950;PIH;KPIH;Pocatello Regional Airport;Pocatello, Idaho;USA
f5ab71b2-a805-4e71-8c0f-c78235456e69;PIR;KPIR;Pierre Regional Airport;Pierre, South Dakota;USA
18ffb54e-8c05-4a6b-8835-e7cdc0dc7990;PIT;KPIT;Pittsburgh Intl Airport;Pittsburgh, Pennsylvania;USA
1a137d36-c837-4cee-b38c-3967252328cc;PKB;KPKB;Mid-Ohio Valley Regional Airport;Parkersburg, West Virginia;USA
a95b059e-9706-496c-93d0-b682b60a1b4a;PLN;KPLN;Pellston Regional Airport of Emmet County;Pellston, Michigan;USA
10ec3096-9f50-465f-aea5-c7a83746f952;PNS;KPNS;Pensacola Regional Airport;Pensacola, Florida;USA
f57c27b7-22af-4d98-845f-344f0f9e616e;PQI;KPQI;Northern Maine Regional Airport;Presque Isle, Maine;USA
e66d411c-9a2b-45eb-91c1-8e06dfd9bdc3;PSC;KPSC;Tri-Cities Airport;Pasco, Washington;USA
fac9d438-7d85-42b5-9577-3a1beebf256e;PSG;PAPG;Petersburg James A. Johnson Airport;Petersburg, Alaska;USA
26e1df4b-db9f-4df8-bc91-482a72dd0556;PSM;KPSM;Pease Intl Tradeport Airport;Portsmouth, New Hampshire;USA
211f93f1-7b10-4b27-bbab-f5458b632661;PSP;KPSP;Palm Springs Intl Airport;Palm Springs, California;USA
66b712dc-206e-4365-87c9-df58d1f8e140;PUW;KPUW;Pullman-Moscow Regional Airport;Pullman, Washington;USA
ee5ba2a8-4e29-4cf8-9e1a-f686b19c1261;PVC;KPVC;Provincetown Municipal Airport;Provincetown, Massachusetts;USA
734be017-e83a-4311-8349-67208b24ea0a;PVD;KPVD;Theodore Francis Green State Airport;Providence, Rhode Island;USA
720ff62e-318b-4401-befb-b6f9e12e73e3;PWM;KPWM;Portland Intl Jetport;Portland, Maine;USA
7ba62cfb-b097-4bff-9319-f2b232706c63;RAP;KRAP;Rapid City Regional Airport;Rapid City, South Dakota;USA
