ID;airlineCode;airlineDescription;
f821876b-c1ea-46f1-b9bc-e6ec7425868c;PX;Air Niugini;
181b4886-31ea-495b-a06b-8843d5a3e79e;BT;Air Baltic;
d70a7ca9-920a-4444-a47e-22597756389b;BI;Royal Brunei Airlines;
fcd84b5d-f158-46a0-b295-876a490a35a7;NX;Air Macau;
50435489-a46f-491d-a9a6-3759224a96c7;BR;Eva Airways;
edcedba4-75e0-4d00-9bc6-082afe74262d;5C;CAL Cargo Air Lines;
95884371-98ba-433e-9d3f-0d7c5ad6ec36;KQ;Kenya Airways;
b3095a82-5bb5-4e99-9dcf-cbcdfa7133d6;MB;MNG Airlines;
40a3ab8d-b139-49e2-96a0-f476e8d0acd5;LX;Swiss;
dacd895a-2cfb-47a9-ad82-9e39d6b90cc8;QT;Tampa Airlines;
77636454-98bd-4ae7-b195-6e17659d71fd;MF;Xiamen Airlines;
6a55240c-5619-4aac-9cf3-a685e29aa7d3;SP;SATA Air Acores;
d0272812-4aca-40bd-9291-7aae1d579c45;VN;Vietnam Airlines;
99c37281-ed2d-4644-93dd-6c4aa06c7440;SM;Avient;
fde94da1-d2e8-4f34-b16c-fca5d93d4d63;J2;Azerbaijan Airlines;
a4f62743-e78b-424a-8bec-456b0d480aab;FM;Shanghai Airlines;
51b5f1f5-be4d-4054-ae18-d7a85c145e09;MU;China Eastern Airlines;
dd657089-eb77-4eef-91e3-7b6a832eda01;CZ;China Southern Airlines;
0d978d79-2143-4e7c-b8e2-887f2924bd37;GD;Grandstar Cargo;
cde194ca-286f-4642-bd9e-12174b96900b;AE;Mandarin Airlines;
a62a90e5-df1f-4d21-88eb-c48d2525e179;M6;Amerijet International;
62efa016-c7f0-471a-b05f-c1e41d1f0b2f;S6;SAC South American Airways;
d2712f1d-a32d-4963-b3db-b41ce42fc2b2;F4;Shanghai Airlines Cargo;
6dfc3aa0-a09d-4764-88b9-716bdcec5dbe;OU;Croatia Airlines;
